ano;mes;qtde_ajustada
2010;1;1348988
2010;2;1389053
2010;3;1645698
2010;4;1423530
2010;5;1463938
2010;6;1476233
2010;7;1493266
2010;8;1509343
2010;9;1506163
2010;10;1471666
2010;11;1514405
2010;12;1748755
2011;1;1580963
2011;2;1633727
2011;3;1753582
2011;4;1582084
2011;5;1729871
2011;6;1634526
2011;7;1624756
2011;8;1719632
2011;9;1620031
2011;10;1598478
2011;11;1646930
2011;12;1780559
2012;1;1687745
2012;2;1667721
2012;3;1877802
2012;4;1648861
2012;5;1737025
2012;6;1646438
2012;7;1676470
2012;8;1790398
2012;9;1575272
2012;10;1729820
2012;11;1641997
2012;12;1810632
2013;1;1845352
2013;2;1724470
2013;3;1840637
2013;4;1812935
2013;5;1838475
2013;6;1721972
2013;7;1816948
2013;8;1789933
2013;9;1668017
2013;10;1807558
2013;11;1666292
2013;12;1776162
2014;1;1826193
2014;2;1812629
2014;3;1827288
2014;4;1828248
2014;5;1871142
2014;6;1682029
2014;7;1805097
2014;8;1750956
2014;9;1718978
2014;10;1824447
2014;11;1676990
2014;12;1833786
2015;1;1750660
2015;2;1741335
2015;3;1796193
2015;4;1710619
2015;5;1674816
2015;6;1623282
2015;7;1619668
2015;8;1532386
2015;9;1485507
2015;10;1479918
2015;11;1380883
2015;12;1577998
2016;1;1360503
2016;2;1460123
2016;3;1566129
2016;4;1375893
2016;5;1348782
2016;6;1337222
2016;7;1303212
2016;8;1326598
2016;9;1228652
2016;10;1221572
2016;11;1256799
2016;12;1388556
2017;1;1301739
2017;2;1251754
2017;3;1392287
2017;4;1136839
2017;5;1251946
2017;6;1220614
2017;7;1174741
2017;8;1265332
2017;9;1161079
2017;10;1150475
2017;11;1171039
2017;12;1297538
2018;1;1243132
2018;2;1251102
2018;3;1349166
2018;4;1232753
2018;5;1282567
2018;6;1206036
2018;7;1202080
2018;8;1287063
2018;9;1125668
2018;10;1254583
2018;11;1170663
2018;12;1336466
2019;1;1324284
2019;2;1329457
2019;3;1345473
2019;4;1283706
2019;5;1354147
2019;6;1228298
2019;7;1306839
2019;8;1261020
